,QUARTER,TIME_REMAINING,SAN ANTONIO_ACTION,OKLAHOMA CITY_ACTION,SAN ANTONIO_SCORE,OKLAHOMA CITY_SCORE
0,1,11:42.0,,Personal foul by D. Murray (drawn by S. Adams),0,0
1,1,11:36.0,,S. Adams misses 2-pt layup from 5 ft,0,0
2,1,11:36.0,Defensive rebound by D. Murray,,0,0
3,1,11:21.0,T. Lyles makes 3-pt jump shot from 25 ft (assist by D. Murray),,3,0
4,1,11:08.0,,S. Gilgeous-Alexander misses 2-pt jump shot from 12 ft,3,0
5,1,11:04.0,,Offensive rebound by S. Gilgeous-Alexander,3,0
6,1,11:02.0,,C. Paul misses 3-pt jump shot from 27 ft,3,0
7,1,10:58.0,Defensive rebound by L. Aldridge,,3,0
8,1,10:48.0,D. DeRozan makes 2-pt jump shot from 6 ft,,5,0
9,1,10:42.0,,Personal foul by D. Murray (drawn by C. Paul),5,0
10,1,10:31.0,,C. Paul makes 2-pt jump shot from 14 ft,5,2
11,1,10:16.0,L. Aldridge misses 3-pt jump shot from 26 ft,,5,2
12,1,10:13.0,,Defensive rebound by S. Gilgeous-Alexander,5,2
13,1,10:08.0,,S. Gilgeous-Alexander makes 2-pt jump shot from 3 ft,5,4
14,1,9:52.0,D. Murray misses 2-pt jump shot from 20 ft,,5,4
15,1,9:50.0,,Defensive rebound by C. Paul,5,4
16,1,9:47.0,,S. Gilgeous-Alexander misses 2-pt layup from 2 ft,5,4
17,1,9:46.0,,Offensive rebound by S. Gilgeous-Alexander,5,4
18,1,9:43.0,,L. Dort makes 2-pt dunk from 1 ft (assist by S. Gilgeous-Alexander),5,6
19,1,9:43.0,San Antonio full timeout,,5,6
20,1,9:43.0,D. White enters the game for D. Murray,,5,6
21,1,9:34.0,D. DeRozan misses 2-pt jump shot from 15 ft,,5,6
22,1,9:31.0,,Defensive rebound by S. Gilgeous-Alexander,5,6
23,1,9:23.0,,S. Gilgeous-Alexander misses 3-pt jump shot from 25 ft,5,6
24,1,9:20.0,Defensive rebound by D. White,,5,6
25,1,9:12.0,B. Forbes makes 3-pt jump shot from 26 ft (assist by D. DeRozan),,8,6
26,1,8:54.0,,S. Adams misses 2-pt jump shot from 13 ft,8,6
27,1,8:52.0,Defensive rebound by D. DeRozan,,8,6
28,1,8:48.0,Personal foul by L. Dort (drawn by D. DeRozan),,8,6
29,1,8:39.0,T. Lyles misses 3-pt jump shot from 25 ft,,8,6
30,1,8:36.0,,Defensive rebound by S. Adams,8,6
31,1,8:31.0,,D. Gallinari misses 3-pt jump shot from 25 ft,8,6
