,QUARTER,TIME_REMAINING,MEMPHIS_ACTION,HOUSTON_ACTION,MEMPHIS_SCORE,HOUSTON_SCORE
0,1,11:36.0,D. Brooks misses 2-pt jump shot from 9 ft,,0,0
1,1,11:35.0,Offensive rebound by Team,,0,0
2,1,11:35.0,Turnover by Team (shot clock),,0,0
3,1,11:23.0,,D. House makes 2-pt layup from 1 ft (assist by R. Westbrook),0,2
4,1,11:06.0,K. Anderson misses 2-pt jump shot from 8 ft,,0,2
5,1,11:05.0,,Defensive rebound by Team,0,2
6,1,10:53.0,,J. Harden makes 2-pt layup from 2 ft,0,4
7,1,10:33.0,J. Morant misses 3-pt jump shot from 27 ft,,0,4
8,1,10:31.0,,Defensive rebound by R. Westbrook,0,4
9,1,10:24.0,,R. Covington misses 3-pt jump shot from 23 ft,0,4
10,1,10:23.0,Defensive rebound by J. Valančiūnas,,0,4
11,1,10:20.0,Offensive foul by J. Morant (drawn by P. Tucker),,0,4
12,1,10:20.0,Turnover by J. Morant (offensive foul),,0,4
13,1,10:09.0,,J. Harden makes 3-pt jump shot from 27 ft,0,7
14,1,9:56.0,K. Anderson misses 2-pt hook shot from 7 ft,,0,7
15,1,9:54.0,,Defensive rebound by R. Westbrook,0,7
16,1,9:46.0,,J. Harden misses 3-pt jump shot from 29 ft,0,7
17,1,9:44.0,Defensive rebound by J. Morant,,0,7
18,1,9:38.0,K. Anderson makes 2-pt jump shot from 3 ft (assist by J. Morant),,2,7
19,1,9:27.0,,Shooting foul by J. Valančiūnas (drawn by R. Westbrook),2,7
20,1,9:27.0,,R. Westbrook makes free throw 1 of 2,2,8
21,1,9:27.0,,R. Westbrook misses free throw 2 of 2,2,8
22,1,9:27.0,Defensive rebound by K. Anderson,,2,8
23,1,9:03.0,D. Brooks misses 2-pt jump shot from 11 ft,,2,8
24,1,9:01.0,,Defensive rebound by R. Westbrook,2,8
25,1,8:54.0,,R. Westbrook misses 2-pt layup from 1 ft,2,8
26,1,8:52.0,Defensive rebound by K. Anderson,,2,8
27,1,8:49.0,Turnover by D. Melton (bad pass),,2,8
28,1,8:45.0,,Offensive foul by P. Tucker (drawn by D. Brooks),2,8
29,1,8:45.0,,Turnover by P. Tucker (offensive foul),2,8
30,1,8:45.0,,Houston full timeout,2,8
31,1,8:45.0,,Instant Replay (Challenge: Ruling Stands),2,8
32,1,8:29.0,Turnover by J. Morant (bad pass),,2,8
33,1,8:20.0,,Turnover by D. House (traveling),2,8
34,1,8:01.0,D. Brooks makes 2-pt layup from 7 ft (assist by D. Melton),,4,8
