,QUARTER,TIME_REMAINING,PORTLAND_ACTION,ATLANTA_ACTION,PORTLAND_SCORE,ATLANTA_SCORE
0,1,11:40.0,Turnover by C. Anthony (bad pass; steal by K. Huerter),,0,0
1,1,11:34.0,,Turnover by D. Hunter (lost ball; steal by T. Ariza),0,0
2,1,11:20.0,C. Anthony misses 2-pt layup from 1 ft,,0,0
3,1,11:15.0,Offensive rebound by C. Anthony,,0,0
4,1,11:15.0,C. Anthony makes 2-pt layup at rim,,2,0
5,1,11:11.0,,K. Huerter makes 2-pt layup from 2 ft (assist by C. Reddish),2,2
6,1,10:51.0,H. Whiteside makes 2-pt hook shot from 7 ft,,4,2
7,1,10:33.0,,D. Hunter misses 2-pt jump shot from 16 ft,4,2
8,1,10:29.0,Defensive rebound by H. Whiteside,,4,2
9,1,10:16.0,H. Whiteside misses 2-pt jump shot from 14 ft,,4,2
10,1,10:14.0,,Defensive rebound by J. Collins,4,2
11,1,10:09.0,,K. Huerter misses 3-pt jump shot from 27 ft,4,2
12,1,10:06.0,Defensive rebound by Team,,4,2
13,1,9:49.0,Turnover by C. Anthony (bad pass),,4,2
14,1,9:38.0,,J. Collins makes 2-pt dunk from 1 ft (assist by T. Young),4,4
15,1,9:25.0,G. Trent misses 2-pt jump shot from 8 ft,,4,4
16,1,9:24.0,Offensive rebound by H. Whiteside,,4,4
17,1,9:22.0,H. Whiteside makes 2-pt dunk from 2 ft,,6,4
18,1,9:13.0,,C. Reddish makes 3-pt jump shot from 25 ft (assist by T. Young),6,7
19,1,8:47.0,C. McCollum misses 3-pt jump shot from 25 ft,,6,7
20,1,8:44.0,,Defensive rebound by K. Huerter,6,7
21,1,8:39.0,,C. Reddish misses 2-pt layup from 1 ft,6,7
22,1,8:38.0,Defensive rebound by H. Whiteside,,6,7
23,1,8:34.0,T. Ariza makes 2-pt layup from 2 ft (assist by C. McCollum),,8,7
24,1,8:34.0,Shooting foul by K. Huerter (drawn by T. Ariza),,8,7
25,1,8:34.0,T. Ariza makes free throw 1 of 1,,9,7
26,1,8:22.0,,T. Young misses 3-pt jump shot from 25 ft,9,7
27,1,8:19.0,Defensive rebound by Team,,9,7
28,1,8:07.0,G. Trent makes 2-pt jump shot from 13 ft (assist by C. McCollum),,11,7
29,1,7:55.0,,Personal foul by G. Trent (drawn by T. Young),11,7
30,1,7:48.0,,Personal foul by T. Ariza (drawn by J. Collins),11,7
31,1,7:39.0,,D. Hunter misses 3-pt jump shot from 22 ft,11,7
32,1,7:37.0,Defensive rebound by H. Whiteside,,11,7
33,1,7:30.0,C. Anthony misses 2-pt layup from 3 ft,,11,7
34,1,7:27.0,,Defensive rebound by J. Collins,11,7
35,1,7:20.0,,K. Huerter misses 3-pt jump shot from 26 ft,11,7
36,1,7:17.0,Defensive rebound by C. McCollum,,11,7
37,1,7:14.0,T. Ariza misses 2-pt layup from 2 ft (block by K. Huerter),,11,7
38,1,7:09.0,,Defensive rebound by T. Young,11,7
39,1,7:05.0,,D. Hunter makes 3-pt jump shot from 23 ft (assist by K. Huerter),11,10
40,1,7:03.0,Portland full timeout,,11,10
41,1,7:03.0,,Technical foul by T. Stotts,11,10
42,1,7:03.0,,T. Young makes technical free throw,11,11
43,1,6:40.0,C. Anthony misses 2-pt jump shot from 15 ft (block by D. Hunter),,11,11
44,1,6:36.0,Offensive rebound by C. Anthony,,11,11
45,1,6:36.0,C. Anthony misses 2-pt jump shot from 20 ft,,11,11
46,1,6:36.0,Offensive rebound by H. Whiteside,,11,11
47,1,6:31.0,H. Whiteside makes 2-pt layup at rim,,13,11
48,1,6:13.0,,T. Young misses 3-pt jump shot from 29 ft,13,11
49,1,6:08.0,Defensive rebound by H. Whiteside,,13,11
50,1,6:00.0,C. Anthony makes 2-pt layup from 1 ft,,15,11
51,1,5:42.0,,C. Reddish misses 3-pt jump shot from 23 ft,15,11
52,1,5:35.0,Defensive rebound by T. Ariza,,15,11
53,1,5:28.0,H. Whiteside misses 2-pt jump shot from 18 ft,,15,11
54,1,5:25.0,,Defensive rebound by K. Huerter,15,11
55,1,5:12.0,,J. Collins misses 2-pt layup from 4 ft (block by H. Whiteside),15,11
56,1,5:08.0,Defensive rebound by C. McCollum,,15,11
57,1,5:05.0,Turnover by G. Trent (out of bounds lost ball),,15,11
58,1,5:05.0,,B. Fernando enters the game for K. Huerter,15,11
59,1,4:56.0,,Turnover by D. Hunter (discontinued dribble),15,11
60,1,4:38.0,G. Trent makes 2-pt layup from 1 ft,,17,11
61,1,4:26.0,,T. Young misses 2-pt jump shot from 23 ft,17,11
62,1,4:25.0,,Offensive rebound by T. Young,17,11
63,1,4:25.0,Violation by Team (kicked ball),,17,11
64,1,4:25.0,W. Gabriel enters the game for C. Anthony,,17,11
65,1,4:25.0,A. Simons enters the game for G. Trent,,17,11
66,1,4:11.0,,T. Young misses 2-pt layup from 9 ft (block by H. Whiteside),17,11
67,1,4:11.0,,Offensive rebound by Team,17,11
68,1,4:11.0,,Turnover by Team (shot clock),17,11
69,1,4:00.0,C. McCollum makes 2-pt jump shot from 11 ft,,19,11
70,1,3:48.0,,Shooting foul by H. Whiteside (drawn by J. Collins),19,11
71,1,3:48.0,,J. Teague enters the game for D. Hunter,19,11
72,1,3:48.0,,J. Collins makes free throw 1 of 2,19,12
73,1,3:48.0,,J. Collins makes free throw 2 of 2,19,13
74,1,3:37.0,A. Simons makes 3-pt jump shot from 26 ft (assist by T. Ariza),,22,13
75,1,3:34.0,,Atlanta full timeout,22,13
76,1,3:34.0,,V. Carter enters the game for J. Collins,22,13
77,1,3:26.0,,V. Carter misses 2-pt jump shot from 13 ft,22,13
78,1,3:24.0,,Offensive rebound by V. Carter,22,13
79,1,3:23.0,,V. Carter misses 3-pt jump shot from 26 ft,22,13
80,1,3:19.0,Defensive rebound by W. Gabriel,,22,13
81,1,3:13.0,T. Ariza misses 3-pt jump shot from 23 ft,,22,13
82,1,3:10.0,,Defensive rebound by V. Carter,22,13
83,1,3:05.0,,C. Reddish makes 3-pt jump shot from 26 ft (assist by J. Teague),22,16
84,1,2:41.0,C. McCollum misses 3-pt jump shot from 26 ft,,22,16
85,1,2:38.0,,Defensive rebound by V. Carter,22,16
86,1,2:28.0,,V. Carter misses 3-pt jump shot from 26 ft,22,16
87,1,2:23.0,Defensive rebound by A. Simons,,22,16
88,1,2:17.0,W. Gabriel misses 2-pt layup from 4 ft,,22,16
89,1,2:12.0,Offensive rebound by H. Whiteside,,22,16
90,1,2:12.0,H. Whiteside makes 2-pt layup at rim,,24,16
91,1,2:00.0,,B. Fernando makes 2-pt jump shot from 12 ft (assist by T. Young),24,18
92,1,1:41.0,Turnover by C. McCollum (bad pass; steal by V. Carter),,24,18
93,1,1:34.0,,B. Fernando makes 2-pt layup from 2 ft (assist by T. Young),24,20
94,1,1:12.0,H. Whiteside misses 2-pt layup from 3 ft (block by B. Fernando),,24,20
95,1,1:09.0,Offensive rebound by W. Gabriel,,24,20
96,1,1:08.0,W. Gabriel makes 2-pt dunk from 2 ft,,26,20
97,1,1:04.0,,Personal foul by T. Ariza (drawn by T. Young),26,20
98,1,1:04.0,N. Little enters the game for T. Ariza,,26,20
99,1,1:04.0,C. Swanigan enters the game for H. Whiteside,,26,20
100,1,1:04.0,,B. Goodwin enters the game for C. Reddish,26,20
101,1,1:04.0,,K. Huerter enters the game for T. Young,26,20
102,1,0:56.0,,Turnover by J. Teague (traveling),26,20
103,1,0:40.0,Personal foul by B. Fernando (drawn by C. Swanigan),,26,20
104,1,0:34.0,Shooting foul by B. Fernando (drawn by C. McCollum),,26,20
105,1,0:34.0,C. McCollum makes free throw 1 of 2,,27,20
106,1,0:34.0,,J. Collins enters the game for B. Fernando,27,20
107,1,0:34.0,C. McCollum makes free throw 2 of 2,,28,20
108,1,0:27.0,,Turnover by J. Teague (bad pass),28,20
109,1,0:27.0,G. Trent enters the game for C. Swanigan,,28,20
110,1,0:14.0,C. McCollum misses 2-pt jump shot from 10 ft,,28,20
111,1,0:12.0,Offensive rebound by C. McCollum,,28,20
112,1,0:11.0,C. McCollum misses 2-pt layup from 5 ft (block by J. Collins),,28,20
113,1,0:09.0,,Defensive rebound by K. Huerter,28,20
114,1,0:06.0,,V. Carter makes 3-pt jump shot from 25 ft (assist by K. Huerter),28,23
115,1,0:00.0,G. Trent misses 3-pt jump shot from 25 ft,,28,23
116,1,0:00.0,Offensive rebound by Team,,28,23
117,2,11:49.0,,Shooting foul by N. Little (drawn by K. Huerter),28,23
118,2,11:49.0,,K. Huerter makes free throw 1 of 2,28,24
119,2,11:49.0,,K. Huerter makes free throw 2 of 2,28,25
120,2,11:37.0,G. Trent misses 3-pt jump shot from 25 ft,,28,25
121,2,11:34.0,Offensive rebound by Team,,28,25
122,2,11:29.0,G. Trent makes 2-pt jump shot from 12 ft,,30,25
123,2,11:07.0,,J. Teague misses 2-pt jump shot from 7 ft,30,25
124,2,11:04.0,Defensive rebound by C. Swanigan,,30,25
125,2,11:01.0,A. Simons makes 3-pt jump shot from 24 ft,,33,25
126,2,10:48.0,,K. Huerter makes 3-pt jump shot from 25 ft (assist by J. Collins),33,28
127,2,10:34.0,G. Trent makes 3-pt jump shot from 25 ft (assist by C. Swanigan),,36,28
128,2,10:18.0,,V. Carter misses 3-pt jump shot from 23 ft,36,28
129,2,10:15.0,Defensive rebound by C. Swanigan,,36,28
130,2,10:14.0,Turnover by W. Gabriel (traveling),,36,28
131,2,10:14.0,,D. Hunter enters the game for V. Carter,36,28
132,2,10:06.0,,J. Collins makes 3-pt jump shot from 23 ft (assist by K. Huerter),36,31
133,2,9:44.0,C. Swanigan makes 2-pt layup from 1 ft,,38,31
134,2,9:37.0,,Personal foul by C. Swanigan (drawn by J. Collins),38,31
135,2,9:37.0,C. Anthony enters the game for N. Little,,38,31
136,2,9:27.0,,B. Goodwin makes 2-pt layup from 1 ft (assist by J. Collins),38,33
137,2,9:05.0,A. Simons misses 2-pt jump shot from 21 ft,,38,33
138,2,9:01.0,,Defensive rebound by J. Teague,38,33
139,2,8:55.0,,J. Teague makes 2-pt jump shot from 18 ft,38,35
140,2,8:55.0,,Shooting foul by A. Simons (drawn by J. Teague),38,35
141,2,8:55.0,,J. Teague makes free throw 1 of 1,38,36
142,2,8:40.0,Offensive foul by G. Trent (drawn by J. Teague),,38,36
143,2,8:40.0,Turnover by G. Trent (offensive foul),,38,36
144,2,8:40.0,T. Ariza enters the game for C. Swanigan,,38,36
145,2,8:23.0,,B. Goodwin misses 3-pt jump shot from 27 ft,38,36
146,2,8:22.0,Defensive rebound by Team,,38,36
147,2,8:12.0,Def 3 sec tech foul by Team,,38,36
148,2,8:12.0,C. Anthony makes technical free throw,,39,36
149,2,8:04.0,A. Simons misses 2-pt layup from 2 ft,,39,36
150,2,8:04.0,,Defensive rebound by Team,39,36
151,2,8:04.0,Loose ball foul by W. Gabriel (drawn by J. Collins),,39,36
152,2,7:58.0,,Offensive foul by J. Collins (drawn by W. Gabriel),39,36
153,2,7:58.0,,Turnover by J. Collins (offensive foul),39,36
154,2,7:42.0,Personal foul by D. Hunter (drawn by C. Anthony),,39,36
155,2,7:42.0,,C. Reddish enters the game for B. Goodwin,39,36
156,2,7:42.0,,T. Young enters the game for J. Teague,39,36
157,2,7:33.0,C. Anthony misses 2-pt jump shot from 22 ft,,39,36
158,2,7:30.0,,Defensive rebound by C. Reddish,39,36
159,2,7:21.0,,C. Reddish misses 2-pt jump shot from 11 ft (block by W. Gabriel),39,36
160,2,7:18.0,Defensive rebound by C. Anthony,,39,36
161,2,7:14.0,T. Ariza makes 3-pt jump shot from 25 ft (assist by C. Anthony),,42,36
162,2,7:02.0,,T. Young misses 3-pt jump shot from 30 ft,42,36
163,2,6:59.0,,Offensive rebound by K. Huerter,42,36
164,2,6:56.0,,T. Young makes 2-pt layup from 1 ft (assist by C. Reddish),42,38
165,2,6:41.0,A. Simons misses 2-pt dunk from 2 ft,,42,38
166,2,6:39.0,Offensive rebound by C. Anthony,,42,38
167,2,6:37.0,Turnover by C. Anthony (bad pass; steal by K. Huerter),,42,38
168,2,6:34.0,,K. Huerter makes 3-pt jump shot from 25 ft,42,41
169,2,6:32.0,Portland full timeout,,42,41
170,2,6:32.0,C. McCollum enters the game for W. Gabriel,,42,41
171,2,6:32.0,H. Whiteside enters the game for G. Trent,,42,41
172,2,6:32.0,,B. Fernando enters the game for K. Huerter,42,41
173,2,6:19.0,A. Simons makes 2-pt jump shot from 13 ft (assist by H. Whiteside),,44,41
174,2,6:04.0,,J. Collins misses 2-pt jump shot from 15 ft,44,41
175,2,6:01.0,Defensive rebound by H. Whiteside,,44,41
176,2,5:54.0,C. McCollum misses 3-pt jump shot from 24 ft,,44,41
177,2,5:50.0,,Defensive rebound by B. Fernando,44,41
178,2,5:42.0,,C. Reddish misses 3-pt jump shot from 25 ft,44,41
179,2,5:40.0,Defensive rebound by Team,,44,41
180,2,5:40.0,,Loose ball foul by B. Fernando (drawn by T. Ariza),44,41
181,2,5:40.0,,D. Jones enters the game for B. Fernando,44,41
182,2,5:18.0,H. Whiteside misses 2-pt hook shot from 13 ft,,44,41
183,2,5:16.0,,Defensive rebound by J. Collins,44,41
184,2,5:10.0,,D. Hunter makes 2-pt jump shot from 13 ft,44,43
185,2,4:57.0,A. Simons misses 3-pt jump shot from 26 ft,,44,43
186,2,4:54.0,,Defensive rebound by D. Jones,44,43
187,2,4:50.0,,Shooting foul by C. McCollum (drawn by T. Young),44,43
188,2,4:50.0,,T. Young makes free throw 1 of 3,44,44
189,2,4:50.0,,T. Young makes free throw 2 of 3,44,45
190,2,4:50.0,,T. Young makes free throw 3 of 3,44,46
191,2,4:30.0,H. Whiteside makes 2-pt jump shot from 12 ft,,46,46
192,2,4:16.0,,J. Collins misses 2-pt dunk from 1 ft,46,46
193,2,4:13.0,,Offensive rebound by J. Collins,46,46
194,2,4:13.0,,J. Collins makes 2-pt dunk from 1 ft,46,48
195,2,3:54.0,C. McCollum misses 2-pt layup from 1 ft,,46,48
196,2,3:51.0,,Defensive rebound by C. Reddish,46,48
197,2,3:48.0,,C. Reddish misses 2-pt layup from 1 ft (block by H. Whiteside),46,48
198,2,3:47.0,,Offensive rebound by Team,46,48
199,2,3:47.0,G. Trent enters the game for A. Simons,,46,48
200,2,3:47.0,,K. Huerter enters the game for J. Collins,46,48
