,QUARTER,TIME_REMAINING,ATLANTA_ACTION,MEMPHIS_ACTION,ATLANTA_SCORE,MEMPHIS_SCORE
0,1,11:39.0,,J. Valančiūnas makes 2-pt hook shot from 11 ft,0,2
1,1,11:23.0,K. Huerter makes 3-pt jump shot from 26 ft (assist by J. Collins),,3,2
2,1,11:08.0,,D. Brooks misses 2-pt jump shot from 8 ft,3,2
3,1,11:06.0,Defensive rebound by J. Collins,,3,2
4,1,11:00.0,J. Collins makes 2-pt layup from 2 ft (assist by T. Young),,5,2
5,1,10:48.0,,J. Morant misses 2-pt jump shot from 1 ft,5,2
6,1,10:43.0,,Offensive rebound by J. Valančiūnas,5,2
7,1,10:43.0,,J. Valančiūnas makes 2-pt dunk at rim,5,4
8,1,10:39.0,Turnover by T. Young (lost ball; steal by D. Brooks),,5,4
9,1,10:31.0,,J. Valančiūnas makes 2-pt jump shot from 1 ft (assist by J. Morant),5,6
10,1,10:17.0,D. Dedmon misses 3-pt jump shot from 26 ft,,5,6
11,1,10:13.0,,Defensive rebound by D. Melton,5,6
12,1,10:09.0,,D. Brooks makes 2-pt jump shot from 3 ft,5,8
13,1,10:09.0,,Shooting foul by D. Hunter (drawn by D. Brooks),5,8
14,1,10:09.0,,D. Brooks misses free throw 1 of 1,5,8
15,1,10:05.0,Defensive rebound by D. Dedmon,,5,8
16,1,9:47.0,D. Hunter misses 3-pt jump shot from 24 ft,,5,8
17,1,9:45.0,Offensive rebound by D. Dedmon,,5,8
18,1,9:42.0,D. Dedmon misses 2-pt layup from 2 ft,,5,8
19,1,9:39.0,Offensive rebound by D. Dedmon,,5,8
20,1,9:29.0,J. Collins misses 3-pt jump shot from 25 ft,,5,8
21,1,9:26.0,,Defensive rebound by J. Valančiūnas,5,8
22,1,9:18.0,,D. Melton misses 2-pt jump shot from 10 ft,5,8
23,1,9:17.0,,Offensive rebound by J. Valančiūnas,5,8
24,1,9:17.0,,Shooting foul by D. Dedmon (drawn by J. Valančiūnas),5,8
25,1,9:17.0,,J. Valančiūnas makes free throw 1 of 2,5,9
26,1,9:17.0,,J. Valančiūnas makes free throw 2 of 2,5,10
27,1,8:59.0,Turnover by D. Hunter (traveling),,5,10
28,1,8:47.0,,Turnover by J. Morant (bad pass; steal by K. Huerter),5,10
29,1,8:43.0,Turnover by K. Huerter (bad pass; steal by J. Morant),,5,10
30,1,8:36.0,,D. Melton makes 3-pt jump shot from 23 ft (assist by K. Anderson),5,13
31,1,8:33.0,Atlanta full timeout,,5,13
32,1,8:13.0,Turnover by T. Young (palming),,5,13
33,1,8:05.0,,D. Brooks makes 3-pt jump shot from 26 ft (assist by J. Morant),5,16
34,1,7:51.0,T. Young misses 3-pt jump shot from 30 ft,,5,16
35,1,7:49.0,,Defensive rebound by J. Valančiūnas,5,16
36,1,7:41.0,,D. Melton misses 2-pt jump shot from 22 ft,5,16
37,1,7:39.0,Defensive rebound by K. Huerter,,5,16
38,1,7:30.0,J. Collins makes 3-pt jump shot from 26 ft (assist by K. Huerter),,8,16
39,1,7:14.0,,K. Anderson misses 3-pt jump shot from 25 ft,8,16
40,1,7:12.0,Defensive rebound by K. Huerter,,8,16
41,1,7:04.0,Turnover by T. Young (bad pass; steal by K. Anderson),,8,16
42,1,6:55.0,,Turnover by K. Anderson (bad pass; steal by J. Collins),8,16
43,1,6:46.0,D. Dedmon misses 3-pt jump shot from 26 ft,,8,16
44,1,6:43.0,,Defensive rebound by K. Anderson,8,16
45,1,6:37.0,,D. Melton makes 2-pt layup from 1 ft (assist by K. Anderson),8,18
46,1,6:22.0,K. Huerter misses 2-pt jump shot from 10 ft,,8,18
47,1,6:22.0,,Defensive rebound by Team,8,18
48,1,6:22.0,Loose ball foul by D. Dedmon (drawn by J. Valančiūnas),,8,18
49,1,6:22.0,B. Fernando enters the game for D. Dedmon,,8,18
50,1,6:22.0,C. Reddish enters the game for D. Hunter,,8,18
51,1,6:22.0,J. Teague enters the game for T. Young,,8,18
52,1,6:09.0,,J. Morant makes 2-pt jump shot from 7 ft (assist by J. Valančiūnas),8,20
53,1,5:55.0,K. Huerter misses 3-pt jump shot from 23 ft,,8,20
54,1,5:54.0,Offensive rebound by J. Collins,,8,20
55,1,5:54.0,Shooting foul by D. Brooks (drawn by J. Collins),,8,20
56,1,5:54.0,J. Collins misses free throw 1 of 2,,8,20
57,1,5:54.0,Offensive rebound by Team,,8,20
58,1,5:54.0,,T. Jones enters the game for D. Melton,8,20
59,1,5:54.0,J. Collins makes free throw 2 of 2,,9,20
60,1,5:33.0,,K. Anderson makes 2-pt jump shot from 21 ft,9,22
61,1,5:22.0,C. Reddish misses 2-pt jump shot from 20 ft,,9,22
62,1,5:19.0,,Defensive rebound by J. Morant,9,22
63,1,5:10.0,,K. Anderson misses 2-pt jump shot from 9 ft,9,22
64,1,5:09.0,,Offensive rebound by J. Valančiūnas,9,22
65,1,5:08.0,,J. Valančiūnas makes 2-pt layup from 2 ft,9,24
66,1,4:52.0,J. Collins misses 2-pt layup from 2 ft (block by K. Anderson),,9,24
67,1,4:49.0,,Defensive rebound by D. Brooks,9,24
68,1,4:47.0,,T. Jones misses 2-pt layup from 2 ft,9,24
69,1,4:47.0,Defensive rebound by Team,,9,24
70,1,4:47.0,,G. Dieng enters the game for K. Anderson,9,24
71,1,4:47.0,,J. Jackson enters the game for J. Morant,9,24
72,1,4:36.0,K. Huerter misses 2-pt jump shot from 12 ft,,9,24
73,1,4:33.0,,Defensive rebound by J. Jackson,9,24
74,1,4:18.0,,J. Valančiūnas makes 2-pt layup from 1 ft (assist by J. Jackson),9,26
75,1,4:02.0,J. Teague misses 3-pt jump shot from 28 ft,,9,26
76,1,4:00.0,,Defensive rebound by D. Brooks,9,26
77,1,3:55.0,,T. Jones misses 3-pt jump shot from 25 ft,9,26
