,QUARTER,TIME_REMAINING,MILWAUKEE_ACTION,PHOENIX_ACTION,MILWAUKEE_SCORE,PHOENIX_SCORE
0,1,11:35.0,K. Middleton misses 2-pt jump shot from 18 ft,,0,0
1,1,11:32.0,,Defensive rebound by A. Baynes,0,0
2,1,11:18.0,,D. Booker makes 3-pt jump shot from 26 ft (assist by R. Rubio),0,3
3,1,11:06.0,K. Middleton misses 2-pt layup from 3 ft,,0,3
4,1,11:02.0,,Defensive rebound by R. Rubio,0,3
5,1,10:59.0,,A. Baynes makes 3-pt jump shot from 25 ft (assist by R. Rubio),0,6
6,1,10:35.0,E. Bledsoe misses 2-pt jump shot from 18 ft,,0,6
7,1,10:32.0,,Defensive rebound by D. Šarić,0,6
8,1,10:18.0,,R. Rubio makes 3-pt jump shot from 26 ft (assist by D. Booker),0,9
9,1,10:01.0,Shooting foul by A. Baynes (drawn by K. Middleton),,0,9
10,1,10:01.0,K. Middleton makes free throw 1 of 2,,1,9
11,1,10:01.0,K. Middleton makes free throw 2 of 2,,2,9
12,1,9:53.0,,A. Baynes makes 3-pt jump shot from 27 ft (assist by R. Rubio),2,12
13,1,9:35.0,E. Bledsoe makes 2-pt layup from 2 ft,,4,12
14,1,9:25.0,,R. Rubio makes 2-pt jump shot from 6 ft,4,14
15,1,9:11.0,E. Bledsoe makes 2-pt jump shot from 7 ft (assist by B. Lopez),,6,14
16,1,9:11.0,Shooting foul by M. Bridges (drawn by E. Bledsoe),,6,14
17,1,9:11.0,E. Bledsoe misses free throw 1 of 1,,6,14
18,1,9:09.0,,Defensive rebound by A. Baynes,6,14
19,1,8:57.0,,R. Rubio makes 2-pt jump shot from 18 ft,6,16
20,1,8:45.0,K. Middleton misses 2-pt jump shot from 9 ft (block by D. Booker),,6,16
21,1,8:45.0,Offensive rebound by Team,,6,16
22,1,8:40.0,K. Middleton misses 3-pt jump shot from 23 ft,,6,16
23,1,8:37.0,,Defensive rebound by M. Bridges,6,16
24,1,8:26.0,,R. Rubio makes 2-pt jump shot from 2 ft (assist by D. Booker),6,18
25,1,8:26.0,Milwaukee full timeout,,6,18
26,1,8:09.0,B. Lopez misses 2-pt hook shot from 7 ft,,6,18
27,1,8:06.0,,Defensive rebound by D. Booker,6,18
28,1,8:00.0,,Turnover by D. Booker (bad pass; steal by E. Bledsoe),6,18
29,1,7:55.0,E. Bledsoe makes 2-pt layup from 1 ft,,8,18
30,1,7:39.0,,D. Booker misses 2-pt jump shot from 13 ft,8,18
31,1,7:37.0,Defensive rebound by E. İlyasova,,8,18
32,1,7:32.0,E. Bledsoe misses 3-pt jump shot from 27 ft,,8,18
33,1,7:29.0,,Defensive rebound by A. Baynes,8,18
34,1,7:25.0,,Personal foul by W. Matthews (drawn by D. Booker),8,18
35,1,7:18.0,,A. Baynes misses 3-pt jump shot from 26 ft,8,18
36,1,7:14.0,Defensive rebound by E. Bledsoe,,8,18
37,1,7:07.0,K. Middleton misses 2-pt jump shot from 18 ft,,8,18
38,1,7:03.0,Offensive rebound by E. İlyasova,,8,18
39,1,7:00.0,K. Middleton misses 3-pt jump shot from 28 ft,,8,18
40,1,7:00.0,,Defensive rebound by M. Bridges,8,18
41,1,6:51.0,,D. Booker makes 2-pt layup at rim,8,20
42,1,6:33.0,B. Lopez makes 2-pt layup from 2 ft (assist by K. Middleton),,10,20
43,1,6:24.0,,D. Šarić makes 3-pt jump shot from 25 ft (assist by R. Rubio),10,23
44,1,6:09.0,Offensive foul by B. Lopez (drawn by M. Bridges),,10,23
45,1,6:09.0,Turnover by B. Lopez (offensive foul),,10,23
46,1,6:09.0,D. DiVincenzo enters the game for E. Bledsoe,,10,23
47,1,6:09.0,M. Williams enters the game for E. İlyasova,,10,23
48,1,6:09.0,,C. Diallo enters the game for D. Šarić,10,23
49,1,5:52.0,,R. Rubio misses 3-pt jump shot from 27 ft,10,23
50,1,5:48.0,Defensive rebound by M. Williams,,10,23
51,1,5:42.0,K. Middleton misses 3-pt jump shot from 27 ft,,10,23
52,1,5:38.0,,Defensive rebound by R. Rubio,10,23
53,1,5:32.0,,Personal foul by W. Matthews (drawn by D. Booker),10,23
54,1,5:32.0,G. Hill enters the game for W. Matthews,,10,23
55,1,5:32.0,,J. Carter enters the game for R. Rubio,10,23
56,1,5:27.0,,J. Carter makes 3-pt jump shot from 25 ft (assist by D. Booker),10,26
57,1,5:12.0,Shooting foul by D. Booker (drawn by K. Middleton),,10,26
58,1,5:12.0,K. Middleton makes free throw 1 of 2,,11,26
59,1,5:12.0,R. Lopez enters the game for B. Lopez,,11,26
60,1,5:12.0,K. Middleton makes free throw 2 of 2,,12,26
61,1,4:58.0,,D. Booker makes 2-pt jump shot from 6 ft,12,28
62,1,4:58.0,,Shooting foul by R. Lopez (drawn by D. Booker),12,28
63,1,4:58.0,,D. Booker makes free throw 1 of 1,12,29
64,1,4:46.0,K. Middleton makes 2-pt jump shot from 19 ft (assist by M. Williams),,14,29
65,1,4:36.0,,J. Carter makes 2-pt jump shot from 16 ft (assist by A. Baynes),14,31
66,1,4:18.0,K. Middleton makes 2-pt jump shot from 11 ft,,16,31
67,1,4:02.0,,D. Booker makes 3-pt jump shot from 25 ft,16,34
68,1,3:45.0,Personal foul by J. Carter (drawn by K. Middleton),,16,34
69,1,3:45.0,,T. Jerome enters the game for M. Bridges,16,34
70,1,3:38.0,Shooting foul by D. Booker (drawn by K. Middleton),,16,34
71,1,3:38.0,K. Middleton makes free throw 1 of 2,,17,34
72,1,3:38.0,P. Connaughton enters the game for D. DiVincenzo,,17,34
73,1,3:38.0,K. Middleton makes free throw 2 of 2,,18,34
74,1,3:23.0,,D. Booker makes 3-pt jump shot from 25 ft (assist by T. Jerome),18,37
75,1,3:08.0,K. Middleton makes 2-pt jump shot from 17 ft,,20,37
76,1,2:48.0,,C. Diallo makes 2-pt layup from 2 ft (assist by D. Booker),20,39
77,1,2:27.0,K. Middleton makes 3-pt jump shot from 28 ft,,23,39
78,1,2:18.0,,D. Booker makes 2-pt jump shot from 2 ft,23,41
79,1,2:18.0,,Shooting foul by R. Lopez (drawn by D. Booker),23,41
80,1,2:18.0,,Phoenix full timeout,23,41
81,1,2:18.0,D. DiVincenzo enters the game for R. Lopez,,23,41
82,1,2:18.0,,D. Šarić enters the game for A. Baynes,23,41
83,1,2:18.0,,D. Booker makes free throw 1 of 1,23,42
84,1,2:05.0,K. Middleton makes 2-pt jump shot from 1 ft,,25,42
85,1,2:05.0,Shooting foul by C. Diallo (drawn by K. Middleton),,25,42
86,1,2:05.0,K. Middleton makes free throw 1 of 1,,26,42
87,1,1:45.0,,D. Booker makes 3-pt jump shot from 28 ft,26,45
88,1,1:33.0,P. Connaughton misses 2-pt layup from 2 ft,,26,45
89,1,1:27.0,,Defensive rebound by J. Carter,26,45
90,1,1:21.0,,T. Jerome misses 3-pt jump shot from 24 ft,26,45
91,1,1:18.0,Defensive rebound by K. Middleton,,26,45
92,1,1:10.0,M. Williams misses 2-pt jump shot from 6 ft,,26,45
93,1,1:08.0,,Defensive rebound by J. Carter,26,45
94,1,1:07.0,,Turnover by D. Booker (out of bounds lost ball),26,45
95,1,1:07.0,B. Lopez enters the game for K. Middleton,,26,45
96,1,1:07.0,,M. Bridges enters the game for D. Booker,26,45
97,1,1:07.0,,R. Rubio enters the game for J. Carter,26,45
98,1,0:52.0,B. Lopez makes 2-pt jump shot from 5 ft,,28,45
99,1,0:36.0,,C. Diallo makes 2-pt layup from 5 ft (assist by R. Rubio),28,47
100,1,0:31.0,G. Hill misses 3-pt jump shot from 30 ft,,28,47
101,1,0:29.0,,Defensive rebound by C. Diallo,28,47
102,1,0:06.0,,R. Rubio misses 3-pt jump shot from 25 ft,28,47
103,1,0:03.0,,Offensive rebound by M. Bridges,28,47
104,1,0:02.0,,T. Jerome misses 3-pt jump shot from 27 ft,28,47
105,1,0:02.0,,Offensive rebound by Team,28,47
106,2,11:47.0,,D. Šarić makes 3-pt jump shot from 26 ft (assist by R. Rubio),28,50
107,2,11:28.0,D. DiVincenzo misses 3-pt jump shot from 26 ft,,28,50
108,2,11:25.0,,Defensive rebound by M. Bridges,28,50
109,2,11:10.0,,Turnover by C. Diallo (3 sec),28,50
110,2,10:54.0,B. Lopez makes 2-pt layup from 1 ft,,30,50
111,2,10:38.0,,M. Bridges misses 3-pt jump shot from 25 ft,30,50
112,2,10:36.0,Defensive rebound by B. Lopez,,30,50
113,2,10:31.0,E. Bledsoe misses 2-pt jump shot from 3 ft,,30,50
114,2,10:27.0,,Defensive rebound by R. Rubio,30,50
115,2,10:17.0,,C. Diallo misses 2-pt layup from 2 ft (block by B. Lopez),30,50
116,2,10:17.0,,Offensive rebound by Team,30,50
117,2,10:09.0,,Shooting foul by P. Connaughton (drawn by D. Šarić),30,50
118,2,10:09.0,,D. Šarić makes free throw 1 of 2,30,51
119,2,10:09.0,,J. Carter enters the game for T. Jerome,30,51
120,2,10:09.0,,D. Šarić makes free throw 2 of 2,30,52
121,2,9:58.0,E. Bledsoe misses 2-pt jump shot from 8 ft,,30,52
122,2,9:55.0,,Defensive rebound by R. Rubio,30,52
123,2,9:49.0,,Turnover by R. Rubio (lost ball; steal by P. Connaughton),30,52
124,2,9:41.0,B. Lopez misses 3-pt jump shot from 27 ft,,30,52
125,2,9:37.0,,Defensive rebound by R. Rubio,30,52
126,2,9:19.0,,C. Diallo misses 2-pt hook shot from 4 ft (block by B. Lopez),30,52
127,2,9:14.0,Defensive rebound by P. Connaughton,,30,52
128,2,9:12.0,K. Korver misses 3-pt jump shot from 27 ft,,30,52
129,2,9:09.0,,Defensive rebound by C. Diallo,30,52
130,2,9:04.0,,M. Bridges makes 2-pt layup from 1 ft,30,54
131,2,8:45.0,P. Connaughton misses 2-pt layup from 2 ft,,30,54
132,2,8:42.0,,Defensive rebound by C. Diallo,30,54
133,2,8:42.0,,Turnover by C. Diallo (bad pass),30,54
134,2,8:42.0,E. İlyasova enters the game for P. Connaughton,,30,54
135,2,8:42.0,W. Matthews enters the game for D. DiVincenzo,,30,54
136,2,8:42.0,,D. Booker enters the game for C. Diallo,30,54
137,2,8:33.0,B. Lopez makes 2-pt layup from 3 ft (assist by E. Bledsoe),,32,54
138,2,8:33.0,,Phoenix full timeout,32,54
139,2,8:33.0,,A. Baynes enters the game for D. Šarić,32,54
140,2,8:20.0,,M. Bridges misses 3-pt jump shot from 26 ft,32,54
141,2,8:17.0,Defensive rebound by E. İlyasova,,32,54
142,2,8:12.0,E. Bledsoe makes 2-pt layup from 1 ft,,34,54
143,2,7:57.0,,R. Rubio misses 2-pt jump shot from 15 ft,34,54
144,2,7:55.0,Defensive rebound by E. İlyasova,,34,54
