,QUARTER,TIME_REMAINING,CLEVELAND_ACTION,CHICAGO_ACTION,CLEVELAND_SCORE,CHICAGO_SCORE
0,1,11:48.0,Shooting foul by S. Harrison (drawn by K. Love),,0,0
1,1,11:48.0,K. Love makes free throw 1 of 3,,1,0
2,1,11:48.0,K. Love makes free throw 2 of 3,,2,0
3,1,11:48.0,K. Love makes free throw 3 of 3,,3,0
4,1,11:27.0,,L. Markkanen misses 2-pt hook shot from 6 ft (block by A. Drummond),3,0
5,1,11:25.0,Defensive rebound by K. Love,,3,0
6,1,11:17.0,K. Love misses 3-pt jump shot from 25 ft,,3,0
7,1,11:15.0,,Defensive rebound by W. Carter,3,0
8,1,11:06.0,,L. Markkanen misses 3-pt jump shot from 25 ft,3,0
9,1,11:04.0,Defensive rebound by K. Love,,3,0
10,1,11:01.0,Turnover by K. Love (bad pass; steal by L. Markkanen),,3,0
11,1,10:53.0,,S. Harrison makes 2-pt jump shot from 6 ft,3,2
12,1,10:36.0,C. Osman makes 2-pt layup from 2 ft (assist by A. Drummond),,5,2
13,1,10:13.0,,D. Valentine makes 2-pt layup from 2 ft,5,4
14,1,9:54.0,Turnover by A. Drummond (lost ball; steal by S. Harrison),,5,4
15,1,9:46.0,,W. Carter misses 2-pt layup from 1 ft,5,4
16,1,9:46.0,,Offensive rebound by Team,5,4
17,1,9:43.0,,Turnover by W. Carter (bad pass; steal by K. Love),5,4
18,1,9:37.0,C. Sexton makes 2-pt layup from 1 ft (assist by K. Love),,7,4
19,1,9:23.0,,C. White misses 3-pt jump shot from 23 ft,7,4
20,1,9:21.0,,Offensive rebound by S. Harrison,7,4
21,1,9:19.0,,L. Markkanen misses 3-pt jump shot from 27 ft,7,4
22,1,9:17.0,Defensive rebound by A. Drummond,,7,4
23,1,9:15.0,Turnover by A. Drummond (bad pass),,7,4
24,1,9:06.0,,C. White makes 2-pt jump shot from 16 ft,7,6
25,1,8:50.0,C. Sexton makes 2-pt layup from 1 ft (assist by M. Dellavedova),,9,6
26,1,8:44.0,,Personal foul by C. Osman (drawn by D. Valentine),9,6
27,1,8:39.0,,Personal foul by A. Drummond (drawn by W. Carter),9,6
28,1,8:23.0,,C. White makes 3-pt jump shot from 23 ft,9,9
29,1,8:13.0,Def 3 sec tech foul by Team,,9,9
30,1,8:13.0,K. Love makes technical free throw,,10,9
31,1,8:03.0,C. Osman misses 3-pt jump shot from 25 ft,,10,9
32,1,7:59.0,,Defensive rebound by C. White,10,9
33,1,7:53.0,,W. Carter makes 2-pt layup from 2 ft (assist by C. White),10,11
34,1,7:37.0,Turnover by K. Love (bad pass; steal by W. Carter),,10,11
35,1,7:34.0,,C. White misses 3-pt jump shot from 25 ft,10,11
36,1,7:31.0,,Offensive rebound by L. Markkanen,10,11
37,1,7:31.0,,L. Markkanen makes 2-pt dunk at rim,10,13
38,1,7:31.0,Cleveland full timeout,,10,13
39,1,7:11.0,Personal foul by W. Carter (drawn by A. Drummond),,10,13
40,1,7:05.0,Shooting foul by W. Carter (drawn by A. Drummond),,10,13
41,1,7:05.0,A. Drummond misses free throw 1 of 2,,10,13
42,1,7:05.0,Offensive rebound by Team,,10,13
43,1,7:05.0,L. Nance enters the game for M. Dellavedova,,10,13
44,1,7:05.0,,D. Gafford enters the game for W. Carter,10,13
45,1,7:05.0,A. Drummond makes free throw 2 of 2,,11,13
46,1,6:51.0,,D. Valentine makes 3-pt jump shot from 26 ft (assist by D. Gafford),11,16
47,1,6:37.0,K. Love misses 3-pt jump shot from 25 ft,,11,16
48,1,6:35.0,Offensive rebound by L. Nance,,11,16
49,1,6:30.0,C. Sexton makes 2-pt layup from 1 ft (assist by L. Nance),,13,16
50,1,6:21.0,,Turnover by C. White (lost ball; steal by C. Sexton),13,16
51,1,6:17.0,K. Love makes 2-pt layup from 1 ft (assist by C. Sexton),,15,16
52,1,6:17.0,Shooting foul by L. Markkanen (drawn by K. Love),,15,16
53,1,6:17.0,,O. Porter enters the game for S. Harrison,15,16
54,1,6:17.0,,T. Satoranský enters the game for D. Valentine,15,16
55,1,6:17.0,K. Love makes free throw 1 of 1,,16,16
56,1,5:58.0,,L. Markkanen makes 2-pt layup from 3 ft,16,18
57,1,5:40.0,A. Drummond makes 2-pt layup from 2 ft (assist by L. Nance),,18,18
58,1,5:22.0,,Turnover by O. Porter (bad pass; steal by A. Drummond),18,18
59,1,5:10.0,L. Nance makes 2-pt dunk from 1 ft (assist by K. Love),,20,18
60,1,4:54.0,,O. Porter makes 3-pt jump shot from 25 ft (assist by C. White),20,21
61,1,4:39.0,C. Osman misses 3-pt jump shot from 25 ft,,20,21
62,1,4:34.0,Offensive rebound by C. Osman,,20,21
63,1,4:34.0,C. Osman makes 2-pt layup from 1 ft,,22,21
64,1,4:34.0,Shooting foul by O. Porter (drawn by C. Osman),,22,21
65,1,4:34.0,A. McKinnie enters the game for K. Love,,22,21
66,1,4:34.0,,T. Young enters the game for L. Markkanen,22,21
67,1,4:34.0,C. Osman makes free throw 1 of 1,,23,21
68,1,4:23.0,,C. White misses 3-pt jump shot from 27 ft,23,21
69,1,4:20.0,,Offensive rebound by T. Satoranský,23,21
70,1,4:18.0,,Turnover by C. White (traveling),23,21
71,1,3:54.0,A. Drummond misses 2-pt layup from 2 ft (block by D. Gafford),,23,21
72,1,3:50.0,Offensive rebound by C. Osman,,23,21
73,1,3:50.0,C. Osman misses 2-pt layup from 1 ft,,23,21
74,1,3:48.0,Offensive rebound by C. Osman,,23,21
